execution_number,model,question_number,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1
17,ind_llama_v4,10,0.005780346820809248,0.07692307692307693,0.010752686871892863,0.005780346820809248,0.07692307692307693,0.010752686871892863
17,ind_llama_v4,11,0.15037593984962405,0.28368794326241137,0.19656019203182645,0.14285714285714285,0.2695035460992908,0.1867321822038166
17,ind_llama_v4,12,0.15789473684210525,0.10526315789473684,0.12631578467368437,0.14473684210526316,0.09649122807017543,0.11578946888421073
17,ind_llama_v4,14,0.44607843137254904,0.5833333333333334,0.5055555506444445,0.44607843137254904,0.5833333333333334,0.5055555506444445
17,seq_gemma_v2,1,0.019230769230769232,0.06451612903225806,0.029629626091632798,0.019230769230769232,0.06451612903225806,0.029629626091632798
17,seq_gemma_v2,2,0.030303030303030304,0.045454545454545456,0.036363631563637,0.030303030303030304,0.045454545454545456,0.036363631563637
17,seq_gemma_v2,3,0.3380281690140845,0.4,0.36641220877571246,0.30985915492957744,0.36666666666666664,0.33587785763067424
17,seq_gemma_v2,5,0.1791907514450867,0.25203252032520324,0.20945945460212756,0.15028901734104047,0.21138211382113822,0.17567567081834382
17,seq_gemma_v2,8,0.036585365853658534,0.3103448275862069,0.06545454356786783,0.028455284552845527,0.2413793103448276,0.05090908902241329
17,seq_gemma_v2,9,0.25862068965517243,0.10416666666666667,0.14851484739143234,0.20689655172413793,0.08333333333333333,0.11881187709440265
17,seq_gemma_v2,10,0.0,0.0,0.0,0.0,0.0,0.0
17,seq_gemma_v2,11,0.20408163265306123,0.07092198581560284,0.10526315406703615,0.1836734693877551,0.06382978723404255,0.09473683827756248
17,seq_gemma_v2,12,0.1864406779661017,0.09649122807017543,0.12716762556316633,0.1694915254237288,0.08771929824561403,0.11560693192154783
17,seq_gemma_v2,14,0.15384615384615385,0.16666666666666666,0.15999999500800016,0.1301775147928994,0.14102564102564102,0.13538461039261557
17,seq_gemma_v4,1,0.05063291139240506,0.12903225806451613,0.07272726867933907,0.0379746835443038,0.0967741935483871,0.054545450497520964
17,seq_gemma_v4,2,0.25287356321839083,0.5,0.33587785813414145,0.25287356321839083,0.5,0.33587785813414145
17,seq_gemma_v4,3,0.27380952380952384,0.38333333333333336,0.31944443958333335,0.2619047619047619,0.36666666666666664,0.30555555069444446
17,seq_gemma_v4,5,0.203125,0.10569105691056911,0.1390374286528069,0.171875,0.08943089430894309,0.11764705432125615
17,seq_gemma_v4,8,0.045283018867924525,0.41379310344827586,0.08163265128303025,0.03773584905660377,0.3448275862068966,0.06802720910615952
17,seq_gemma_v4,9,0.16037735849056603,0.2361111111111111,0.19101123113748272,0.1179245283018868,0.1736111111111111,0.14044943338467383
17,seq_gemma_v4,10,0.01818181818181818,0.07692307692307693,0.029411761613322124,0.01818181818181818,0.07692307692307693,0.029411761613322124
17,seq_gemma_v4,11,0.21568627450980393,0.07801418439716312,0.1145833294319663,0.19607843137254902,0.07092198581560284,0.10416666276529962
17,seq_gemma_v4,12,0.1592920353982301,0.15789473684210525,0.15859030337014124,0.11504424778761062,0.11403508771929824,0.11453743993401796
17,seq_gemma_v4,14,0.1839080459770115,0.20512820512820512,0.1939393889542701,0.1781609195402299,0.1987179487179487,0.18787878289366403
17,seq_llama_v2,1,0.021621621621621623,0.12903225806451613,0.037037034578618136,0.021621621621621623,0.12903225806451613,0.037037034578618136
